"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Sales","Adjustments","Release","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","927147","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","903733","","","","0"
"2022-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","915525","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","920444","","","","0"
"2022-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","934566","","","","0"
"2022-06","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","913765","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","941916","","","","0"
"2022-08","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","958844","","","","0"
"2022-09","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","942387","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","967901","","","","0"
"2022-11","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","941705","B","","","0"
"2022-12","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","952611","A","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","980716","A","","","0"
"2023-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","973441","A","","","0"
"2023-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","933420","A","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","895532","A","","","0"
"2023-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","975940","A","","","0"
"2023-06","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","934164","A","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","982665","A","","","0"
"2023-08","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","944223","A","","","0"
"2023-09","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","941684","A","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","950825","A","","","0"
"2023-11","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","January 19, 2024","Dollars","81","thousands","3","v1579556174","2.1.1.2.11","945189","B","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","927147","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","903733","","","","0"
"2022-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","915525","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","920444","","","","0"
"2022-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","934566","","","","0"
"2022-06","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","913765","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","941916","","","","0"
"2022-08","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","958844","","","","0"
"2022-09","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","942387","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","967901","","","","0"
"2022-11","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","941705","B","","","0"
"2022-12","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","952611","A","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","980716","A","","","0"
"2023-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","973441","A","","","0"
"2023-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","933420","A","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","895532","A","","","0"
"2023-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","975940","A","","","0"
"2023-06","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","934164","A","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","982665","A","","","0"
"2023-08","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","945711","A","","","0"
"2023-09","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","943509","A","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","956989","B","","","0"
"2023-11","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","December 21, 2023","Dollars","81","thousands","3","v1579149738","2.1.1.2.10","","..","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","November 24, 2023","Dollars","81","thousands","3","v1578618552","2.1.1.2.9","927147","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","November 24, 2023","Dollars","81","thousands","3","v1578618552","2.1.1.2.9","903733","","","","0"
"2022-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","November 24, 2023","Dollars","81","thousands","3","v1578618552","2.1.1.2.9","915525","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","November 24, 2023","Dollars","81","thousands","3","v1578618552","2.1.1.2.9","920444","","","","0"
