"REF_DATE","GEO","DGUID","Supply and disposition","Products","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","132480","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","81776","","","","0"
"2022-03","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","44268","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","77160","","","","0"
"2022-05","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","119265","","","","0"
"2022-06","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","46353","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","188893","","","","0"
"2022-08","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","150263","","","","0"
"2022-09","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","73311","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","127046","","","","0"
"2022-11","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","50045","","","","0"
"2022-12","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","185315","","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","46636","","","","0"
"2023-02","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","111930","","","","0"
"2023-03","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","60421","","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","33004","","","","0"
"2023-05","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","104606","","","","0"
"2023-06","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","146409","","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","80604","","","","0"
"2023-08","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","98033","","","","0"
"2023-09","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","123003","","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","0","","","","0"
"2023-11","Newfoundland and Labrador","2016A000210","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227577","2.4.17.1","161520","","","","0"
"2022-01","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-02","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-03","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-04","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-05","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-06","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-07","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-08","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-09","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-10","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-11","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-12","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2023-01","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2023-02","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2023-03","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2023-04","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2023-05","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2023-06","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2023-07","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2023-08","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2023-09","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2023-10","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2023-11","Prince Edward Island","2016A000211","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227689","3.4.17.1","0","","","","0"
"2022-01","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","144972","","","","0"
"2022-02","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","0","","","","0"
"2022-03","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","50197","","","","0"
"2022-04","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","47821","","","","0"
"2022-05","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","37501","","","","0"
"2022-06","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","79159","","","","0"
"2022-07","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","1211","","","","0"
"2022-08","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","57149","","","","0"
"2022-09","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","39755","","","","0"
"2022-10","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","95904","","","","0"
"2022-11","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","73682","","","","0"
"2022-12","Nova Scotia","2016A000212","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227803","4.4.17.1","55983","","","","0"
