"REF_DATE","GEO","VALUE"
"2022-01","Newfoundland and Labrador",64729
"2022-02","Newfoundland and Labrador",73373
"2022-03","Newfoundland and Labrador",75167
"2022-04","Newfoundland and Labrador",78292
"2022-05","Newfoundland and Labrador",75795
"2022-06","Newfoundland and Labrador",76517
"2022-07","Newfoundland and Labrador",78953
"2022-08","Newfoundland and Labrador",78940
"2022-09","Newfoundland and Labrador",78517
"2022-10","Newfoundland and Labrador",80626
"2022-11","Newfoundland and Labrador",80491
"2022-12","Newfoundland and Labrador",83785
"2023-01","Newfoundland and Labrador",87327
"2023-02","Newfoundland and Labrador",88158
"2023-03","Newfoundland and Labrador",87692
"2023-04","Newfoundland and Labrador",87680
"2023-05","Newfoundland and Labrador",84497
"2023-06","Newfoundland and Labrador",84217
"2023-07","Newfoundland and Labrador",86202
"2023-08","Newfoundland and Labrador",84345
"2023-09","Newfoundland and Labrador",84021
"2023-10","Newfoundland and Labrador",86490
"2023-11","Newfoundland and Labrador",86942
"2022-01","Prince Edward Island",23022
"2022-02","Prince Edward Island",28763
"2022-03","Prince Edward Island",29575
"2022-04","Prince Edward Island",30470
"2022-05","Prince Edward Island",31544
"2022-06","Prince Edward Island",31796
"2022-07","Prince Edward Island",33269
"2022-08","Prince Edward Island",33239
"2022-09","Prince Edward Island",32937
"2022-10","Prince Edward Island",34005
"2022-11","Prince Edward Island",34070
"2022-12","Prince Edward Island",33960
"2023-01","Prince Edward Island",35689
"2023-02","Prince Edward Island",36768
"2023-03","Prince Edward Island",35617
"2023-04","Prince Edward Island",36011
"2023-05","Prince Edward Island",35898
"2023-06","Prince Edward Island",35633
"2023-07","Prince Edward Island",36184
"2023-08","Prince Edward Island",35823
"2023-09","Prince Edward Island",35896
"2023-10","Prince Edward Island",35466
"2023-11","Prince Edward Island",36342
"2022-01","Nova Scotia",129962
"2022-02","Nova Scotia",153436
"2022-03","Nova Scotia",161994
"2022-04","Nova Scotia",164055
"2022-05","Nova Scotia",164730
"2022-06","Nova Scotia",165816
"2022-07","Nova Scotia",169077
"2022-08","Nova Scotia",166828
"2022-09","Nova Scotia",165903
"2022-10","Nova Scotia",172218
"2022-11","Nova Scotia",172396
"2022-12","Nova Scotia",174339
"2023-01","Nova Scotia",185422
"2023-02","Nova Scotia",184107
"2023-03","Nova Scotia",180368
"2023-04","Nova Scotia",182887
"2023-05","Nova Scotia",178973
