"REF_DATE","GEO","VALUE"
"2022-01","Newfoundland and Labrador",264436
"2022-02","Newfoundland and Labrador",304927
"2022-03","Newfoundland and Labrador",353745
"2022-04","Newfoundland and Labrador",346772
"2022-05","Newfoundland and Labrador",409908
"2022-06","Newfoundland and Labrador",335747
"2022-07","Newfoundland and Labrador",258207
"2022-08","Newfoundland and Labrador",264056
"2022-09","Newfoundland and Labrador",287861
"2022-10","Newfoundland and Labrador",284859
"2022-11","Newfoundland and Labrador",344067
"2022-12","Newfoundland and Labrador",371975
"2023-01","Newfoundland and Labrador",332144
"2023-02","Newfoundland and Labrador",338631
"2023-03","Newfoundland and Labrador",340737
"2023-04","Newfoundland and Labrador",254649
"2023-05","Newfoundland and Labrador",230837
"2023-06","Newfoundland and Labrador",234892
"2023-07","Newfoundland and Labrador",252991
"2023-08","Newfoundland and Labrador",313334
"2023-09","Newfoundland and Labrador",274569
"2023-10","Newfoundland and Labrador",259634
"2023-11","Newfoundland and Labrador",274220
"2023-12","Newfoundland and Labrador",222935
"2022-01","Prince Edward Island",223492
"2022-02","Prince Edward Island",223063
"2022-03","Prince Edward Island",265957
"2022-04","Prince Edward Island",285508
"2022-05","Prince Edward Island",259746
"2022-06","Prince Edward Island",242451
"2022-07","Prince Edward Island",257736
"2022-08","Prince Edward Island",238437
"2022-09","Prince Edward Island",234455
"2022-10","Prince Edward Island",251369
"2022-11","Prince Edward Island",267337
"2022-12","Prince Edward Island",265634
"2023-01","Prince Edward Island",275895
"2023-02","Prince Edward Island",276812
"2023-03","Prince Edward Island",296518
"2023-04","Prince Edward Island",274511
"2023-05","Prince Edward Island",277239
"2023-06","Prince Edward Island",276289
"2023-07","Prince Edward Island",271435
"2023-08","Prince Edward Island",302980
"2023-09","Prince Edward Island",279585
"2023-10","Prince Edward Island",284081
"2023-11","Prince Edward Island",279229
"2023-12","Prince Edward Island",290573
"2022-01","Nova Scotia",836638
"2022-02","Nova Scotia",874999
"2022-03","Nova Scotia",926314
"2022-04","Nova Scotia",928882
"2022-05","Nova Scotia",1004240
"2022-06","Nova Scotia",918755
"2022-07","Nova Scotia",907082
"2022-08","Nova Scotia",906456
"2022-09","Nova Scotia",875590
"2022-10","Nova Scotia",883748
"2022-11","Nova Scotia",880543
"2022-12","Nova Scotia",879554
"2023-01","Nova Scotia",880417
"2023-02","Nova Scotia",879024
"2023-03","Nova Scotia",920740
"2023-04","Nova Scotia",851048
"2023-05","Nova Scotia",899374
"2023-06","Nova Scotia",914923
"2023-07","Nova Scotia",849736
"2023-08","Nova Scotia",928099
"2023-09","Nova Scotia",889488
"2023-10","Nova Scotia",920235
"2023-11","Nova Scotia",893123
"2023-12","Nova Scotia",893715
"2022-01","New Brunswick",2017001
"2022-02","New Brunswick",2210765
"2022-03","New Brunswick",2312119
"2022-04","New Brunswick",2460804
"2022-05","New Brunswick",2471825
"2022-06","New Brunswick",2290673
"2022-07","New Brunswick",2477397
"2022-08","New Brunswick",2241491
"2022-09","New Brunswick",2051245
"2022-10","New Brunswick",2048380
"2022-11","New Brunswick",2157696
"2022-12","New Brunswick",2084289
"2023-01","New Brunswick",2206831
"2023-02","New Brunswick",2071105
"2023-03","New Brunswick",2014679
"2023-04","New Brunswick",1947472
"2023-05","New Brunswick",1955806
"2023-06","New Brunswick",1937668
"2023-07","New Brunswick",1978067
"2023-08","New Brunswick",2091287
"2023-09","New Brunswick",2189054
"2023-10","New Brunswick",1918335
"2023-11","New Brunswick",1810713
"2023-12","New Brunswick",1978348
"2022-01","Quebec",16949941
"2022-02","Quebec",17442247
"2022-03","Quebec",17549533
"2022-04","Quebec",18280632
"2022-05","Quebec",18429175
"2022-06","Quebec",18309689
"2022-07","Quebec",17601528
"2022-08","Quebec",17012905
"2022-09","Quebec",17602316
"2022-10","Quebec",17930031
"2022-11","Quebec",18061709
"2022-12","Quebec",17964963
"2023-01","Quebec",18153027
"2023-02","Quebec",17817524
"2023-03","Quebec",18230379
"2023-04","Quebec",17703414
"2023-05","Quebec",17219461
"2023-06","Quebec",17122745
"2023-07","Quebec",17812590
"2023-08","Quebec",17561169
"2023-09","Quebec",17810464
"2023-10","Quebec",17796082
"2023-11","Quebec",17986302
"2023-12","Quebec",18275178
"2022-01","Ontario",27714250
"2022-02","Ontario",30024531
"2022-03","Ontario",30834243
"2022-04","Ontario",31728284
"2022-05","Ontario",30651394
"2022-06","Ontario",30941729
"2022-07","Ontario",31054727
"2022-08","Ontario",30944157
"2022-09","Ontario",30470934
"2022-10","Ontario",30815859
"2022-11","Ontario",31273531
"2022-12","Ontario",31071747
"2023-01","Ontario",32752005
"2023-02","Ontario",31790489
"2023-03","Ontario",31650493
"2023-04","Ontario",32473597
"2023-05","Ontario",33582835
"2023-06","Ontario",33043072
"2023-07","Ontario",33153694
"2023-08","Ontario",32840842
"2023-09","Ontario",32607487
"2023-10","Ontario",31167250
"2023-11","Ontario",31833944
"2023-12","Ontario",30954858
"2022-01","Manitoba",1845320
"2022-02","Manitoba",2022267
"2022-03","Manitoba",2087011
"2022-04","Manitoba",2000977
"2022-05","Manitoba",2076402
"2022-06","Manitoba",2285026
"2022-07","Manitoba",2131488
"2022-08","Manitoba",2156220
"2022-09","Manitoba",2166206
"2022-10","Manitoba",2296598
"2022-11","Manitoba",2161392
"2022-12","Manitoba",2056120
"2023-01","Manitoba",2273078
"2023-02","Manitoba",2232002
"2023-03","Manitoba",2162871
"2023-04","Manitoba",2183404
"2023-05","Manitoba",2273082
"2023-06","Manitoba",2236963
"2023-07","Manitoba",1999106
"2023-08","Manitoba",2239624
"2023-09","Manitoba",2244122
"2023-10","Manitoba",2224327
"2023-11","Manitoba",2218465
"2023-12","Manitoba",2103543
"2022-01","Saskatchewan",1776269
"2022-02","Saskatchewan",1880361
"2022-03","Saskatchewan",2128178
"2022-04","Saskatchewan",2120037
"2022-05","Saskatchewan",2189935
"2022-06","Saskatchewan",2083973
"2022-07","Saskatchewan",2207082
"2022-08","Saskatchewan",2175991
"2022-09","Saskatchewan",2133732
"2022-10","Saskatchewan",2306652
"2022-11","Saskatchewan",2234137
"2022-12","Saskatchewan",2362676
"2023-01","Saskatchewan",2189813
"2023-02","Saskatchewan",2001253
"2023-03","Saskatchewan",1981328
"2023-04","Saskatchewan",1976771
"2023-05","Saskatchewan",2070612
"2023-06","Saskatchewan",1680552
"2023-07","Saskatchewan",2025618
"2023-08","Saskatchewan",1998384
"2023-09","Saskatchewan",2094269
"2023-10","Saskatchewan",2021620
"2023-11","Saskatchewan",2133737
"2023-12","Saskatchewan",2039865
"2022-01","Alberta",8101486
"2022-02","Alberta",8629092
"2022-03","Alberta",9081528
"2022-04","Alberta",9421575
"2022-05","Alberta",9388741
"2022-06","Alberta",9318924
"2022-07","Alberta",9269491
"2022-08","Alberta",8976474
"2022-09","Alberta",8971979
"2022-10","Alberta",9552119
"2022-11","Alberta",9214758
"2022-12","Alberta",8617749
"2023-01","Alberta",9727960
"2023-02","Alberta",8741774
"2023-03","Alberta",9085415
"2023-04","Alberta",8160867
"2023-05","Alberta",8466759
"2023-06","Alberta",7882588
"2023-07","Alberta",8197449
"2023-08","Alberta",8710849
"2023-09","Alberta",9172187
"2023-10","Alberta",8664111
"2023-11","Alberta",8740319
"2023-12","Alberta",8870172
"2022-01","British Columbia",5570395
"2022-02","British Columbia",5832759
"2022-03","British Columbia",6092015
"2022-04","British Columbia",5904432
"2022-05","British Columbia",5825999
"2022-06","British Columbia",5772187
"2022-07","British Columbia",5693634
"2022-08","British Columbia",5723411
"2022-09","British Columbia",5686561
"2022-10","British Columbia",5680139
"2022-11","British Columbia",5675198
"2022-12","British Columbia",5496946
"2023-01","British Columbia",5528680
"2023-02","British Columbia",5386630
"2023-03","British Columbia",5308619
"2023-04","British Columbia",5382844
"2023-05","British Columbia",5354339
"2023-06","British Columbia",5399213
"2023-07","British Columbia",5214985
"2023-08","British Columbia",5395461
"2023-09","British Columbia",5360919
"2023-10","British Columbia",5398924
"2023-11","British Columbia",5536415
"2023-12","British Columbia",5580420
"2022-01","Yukon",2767
"2022-02","Yukon",2596
"2022-03","Yukon",3097
"2022-04","Yukon",3601
"2022-05","Yukon",3081
"2022-06","Yukon",3165
"2022-07","Yukon",3226
"2022-08","Yukon",3354
"2022-09","Yukon",2995
"2022-10","Yukon",3373
"2022-11","Yukon",3104
"2022-12","Yukon",3572
"2023-01","Yukon",3319
"2023-02","Yukon",3560
"2023-03","Yukon",3512
"2023-04","Yukon",3511
"2023-05","Yukon",4132
"2023-06","Yukon",4091
"2023-07","Yukon",4073
"2023-08","Yukon",4393
"2023-09","Yukon",3892
"2023-10","Yukon",3253
"2023-11","Yukon",4468
"2023-12","Yukon",5121
"2022-01","Northwest Territories including Nunavut",2066
"2022-02","Northwest Territories including Nunavut",3965
"2022-03","Northwest Territories including Nunavut",3807
"2022-04","Northwest Territories including Nunavut",2439
"2022-05","Northwest Territories including Nunavut",4244
"2022-06","Northwest Territories including Nunavut",5642
"2022-07","Northwest Territories including Nunavut",5627
"2022-08","Northwest Territories including Nunavut",5279
"2022-09","Northwest Territories including Nunavut",3524
"2022-10","Northwest Territories including Nunavut",3844
"2022-11","Northwest Territories including Nunavut",3044
"2022-12","Northwest Territories including Nunavut",3692
"2023-01","Northwest Territories including Nunavut",3937
"2023-02","Northwest Territories including Nunavut",1498
"2023-03","Northwest Territories including Nunavut",2441
"2023-04","Northwest Territories including Nunavut",1612
"2023-05","Northwest Territories including Nunavut",1279
"2023-06","Northwest Territories including Nunavut",2898
"2023-07","Northwest Territories including Nunavut",2004
"2023-08","Northwest Territories including Nunavut",2772
"2023-09","Northwest Territories including Nunavut",4194
"2023-10","Northwest Territories including Nunavut",3628
"2023-11","Northwest Territories including Nunavut",3015
"2023-12","Northwest Territories including Nunavut",3594
"2022-01","Northwest Territories",1435
"2022-02","Northwest Territories",2029
"2022-03","Northwest Territories",2315
"2022-04","Northwest Territories",584
"2022-05","Northwest Territories",958
"2022-06","Northwest Territories",737
"2022-07","Northwest Territories",936
"2022-08","Northwest Territories",984
"2022-09","Northwest Territories",696
"2022-10","Northwest Territories",695
"2022-11","Northwest Territories",400
"2022-12","Northwest Territories",804
"2023-01","Northwest Territories",755
"2023-02","Northwest Territories",352
"2023-03","Northwest Territories",949
"2023-04","Northwest Territories",NA
"2023-05","Northwest Territories",NA
"2023-06","Northwest Territories",NA
"2023-07","Northwest Territories",725
"2023-08","Northwest Territories",1122
"2023-09","Northwest Territories",1411
"2023-10","Northwest Territories",NA
"2023-11","Northwest Territories",NA
"2023-12","Northwest Territories",NA
"2022-01","Nunavut",631
"2022-02","Nunavut",1936
"2022-03","Nunavut",1492
"2022-04","Nunavut",1856
"2022-05","Nunavut",3286
"2022-06","Nunavut",4905
"2022-07","Nunavut",4691
"2022-08","Nunavut",4295
"2022-09","Nunavut",2828
"2022-10","Nunavut",3149
"2022-11","Nunavut",2644
"2022-12","Nunavut",2888
"2023-01","Nunavut",3182
"2023-02","Nunavut",1146
"2023-03","Nunavut",1492
"2023-04","Nunavut",NA
"2023-05","Nunavut",NA
"2023-06","Nunavut",NA
"2023-07","Nunavut",1279
"2023-08","Nunavut",1650
"2023-09","Nunavut",2783
"2023-10","Nunavut",NA
"2023-11","Nunavut",NA
"2023-12","Nunavut",NA
