"","GEO","retail","year","month"
"1","Alberta",6726992,"2017","January"
"2","British Columbia",7277591,"2017","January"
"3","Manitoba",1749096,"2017","January"
"4","New Brunswick",1049815,"2017","January"
"5","Newfoundland and Labrador",800919,"2017","January"
"6","Northwest Territories",65317,"2017","January"
"7","Nova Scotia",1338447,"2017","January"
"8","Nunavut",39696,"2017","January"
"9","Ontario",18742688,"2017","January"
"10","Prince Edward Island",199509,"2017","January"
"11","Quebec",10709589,"2017","January"
"12","Saskatchewan",1651544,"2017","January"
"13","Yukon",66032,"2017","January"
"14","Alberta",6755541,"2017","February"
"15","British Columbia",6979447,"2017","February"
"16","Manitoba",1733320,"2017","February"
"17","New Brunswick",1062497,"2017","February"
"18","Newfoundland and Labrador",784274,"2017","February"
"19","Northwest Territories",65745,"2017","February"
"20","Nova Scotia",1291331,"2017","February"
"21","Nunavut",41580,"2017","February"
"22","Ontario",18703958,"2017","February"
"23","Prince Edward Island",192843,"2017","February"
"24","Quebec",10526893,"2017","February"
"25","Saskatchewan",1659959,"2017","February"
"26","Yukon",66066,"2017","February"
"27","Alberta",6696621,"2017","March"
"28","British Columbia",7041783,"2017","March"
"29","Manitoba",1727275,"2017","March"
"30","New Brunswick",1054798,"2017","March"
"31","Newfoundland and Labrador",767324,"2017","March"
"32","Northwest Territories",65613,"2017","March"
"33","Nova Scotia",1332297,"2017","March"
"34","Nunavut",34958,"2017","March"
"35","Ontario",18903337,"2017","March"
"36","Prince Edward Island",199423,"2017","March"
"37","Quebec",10366074,"2017","March"
"38","Saskatchewan",1679639,"2017","March"
"39","Yukon",68277,"2017","March"
"40","Alberta",6731946,"2017","April"
"41","British Columbia",7097179,"2017","April"
"42","Manitoba",1748527,"2017","April"
"43","New Brunswick",1067218,"2017","April"
"44","Newfoundland and Labrador",764090,"2017","April"
"45","Northwest Territories",63711,"2017","April"
"46","Nova Scotia",1339876,"2017","April"
"47","Nunavut",37019,"2017","April"
"48","Ontario",19222214,"2017","April"
"49","Prince Edward Island",201039,"2017","April"
"50","Quebec",10861159,"2017","April"
"51","Saskatchewan",1626696,"2017","April"
"52","Yukon",66765,"2017","April"
"53","Alberta",6794861,"2017","May"
"54","British Columbia",7231238,"2017","May"
"55","Manitoba",1756835,"2017","May"
"56","New Brunswick",1103307,"2017","May"
"57","Newfoundland and Labrador",777538,"2017","May"
"58","Northwest Territories",66732,"2017","May"
"59","Nova Scotia",1363924,"2017","May"
"60","Nunavut",38539,"2017","May"
"61","Ontario",19082390,"2017","May"
"62","Prince Edward Island",198471,"2017","May"
"63","Quebec",10597288,"2017","May"
"64","Saskatchewan",1632421,"2017","May"
"65","Yukon",68089,"2017","May"
"66","Alberta",6845782,"2017","June"
"67","British Columbia",7386505,"2017","June"
