"REF_DATE","GEO","VALUE"
"2022-01","Newfoundland and Labrador",132480
"2022-02","Newfoundland and Labrador",81776
"2022-03","Newfoundland and Labrador",44268
"2022-04","Newfoundland and Labrador",77160
"2022-05","Newfoundland and Labrador",119265
"2022-06","Newfoundland and Labrador",46353
"2022-07","Newfoundland and Labrador",188893
"2022-08","Newfoundland and Labrador",150263
"2022-09","Newfoundland and Labrador",73311
"2022-10","Newfoundland and Labrador",127046
"2022-11","Newfoundland and Labrador",50045
"2022-12","Newfoundland and Labrador",185315
"2023-01","Newfoundland and Labrador",46636
"2023-02","Newfoundland and Labrador",111930
"2023-03","Newfoundland and Labrador",60421
"2023-04","Newfoundland and Labrador",33004
"2023-05","Newfoundland and Labrador",104606
"2023-06","Newfoundland and Labrador",146409
"2023-07","Newfoundland and Labrador",80604
"2023-08","Newfoundland and Labrador",98033
"2023-09","Newfoundland and Labrador",123003
"2023-10","Newfoundland and Labrador",0
"2023-11","Newfoundland and Labrador",161520
"2022-01","Prince Edward Island",0
"2022-02","Prince Edward Island",0
"2022-03","Prince Edward Island",0
"2022-04","Prince Edward Island",0
"2022-05","Prince Edward Island",0
"2022-06","Prince Edward Island",0
"2022-07","Prince Edward Island",0
"2022-08","Prince Edward Island",0
"2022-09","Prince Edward Island",0
"2022-10","Prince Edward Island",0
"2022-11","Prince Edward Island",0
"2022-12","Prince Edward Island",0
"2023-01","Prince Edward Island",0
"2023-02","Prince Edward Island",0
"2023-03","Prince Edward Island",0
"2023-04","Prince Edward Island",0
"2023-05","Prince Edward Island",0
"2023-06","Prince Edward Island",0
"2023-07","Prince Edward Island",0
"2023-08","Prince Edward Island",0
"2023-09","Prince Edward Island",0
"2023-10","Prince Edward Island",0
"2023-11","Prince Edward Island",0
"2022-01","Nova Scotia",144972
"2022-02","Nova Scotia",0
"2022-03","Nova Scotia",50197
"2022-04","Nova Scotia",47821
"2022-05","Nova Scotia",37501
"2022-06","Nova Scotia",79159
"2022-07","Nova Scotia",1211
"2022-08","Nova Scotia",57149
"2022-09","Nova Scotia",39755
"2022-10","Nova Scotia",95904
"2022-11","Nova Scotia",73682
"2022-12","Nova Scotia",55983
"2023-01","Nova Scotia",97242
"2023-02","Nova Scotia",64114
"2023-03","Nova Scotia",20609
"2023-04","Nova Scotia",41310
"2023-05","Nova Scotia",41336
"2023-06","Nova Scotia",41120
"2023-07","Nova Scotia",44591
"2023-08","Nova Scotia",106987
"2023-09","Nova Scotia",42237
"2023-10","Nova Scotia",63643
"2023-11","Nova Scotia",20668
"2022-01","New Brunswick",1274
"2022-02","New Brunswick",33734
"2022-03","New Brunswick",67036
"2022-04","New Brunswick",1818
"2022-05","New Brunswick",794
"2022-06","New Brunswick",1156
"2022-07","New Brunswick",55932
"2022-08","New Brunswick",2311
"2022-09","New Brunswick",57258
"2022-10","New Brunswick",2366
"2022-11","New Brunswick",119534
"2022-12","New Brunswick",1233
"2023-01","New Brunswick",943
"2023-02","New Brunswick",921
"2023-03","New Brunswick",1296
"2023-04","New Brunswick",1148
"2023-05","New Brunswick",1021
"2023-06","New Brunswick",604
"2023-07","New Brunswick",826
"2023-08","New Brunswick",20944
"2023-09","New Brunswick",24572
"2023-10","New Brunswick",1137
"2023-11","New Brunswick",1239
"2022-01","Quebec",94466
"2022-02","Quebec",261073
"2022-03","Quebec",350368
"2022-04","Quebec",228362
"2022-05","Quebec",276890
"2022-06","Quebec",507612
"2022-07","Quebec",378586
"2022-08","Quebec",358902
"2022-09","Quebec",326910
"2022-10","Quebec",356569
"2022-11","Quebec",306536
"2022-12","Quebec",297220
"2023-01","Quebec",307473
"2023-02","Quebec",196004
"2023-03","Quebec",286937
"2023-04","Quebec",270993
"2023-05","Quebec",190819
"2023-06","Quebec",188145
"2023-07","Quebec",470402
"2023-08","Quebec",411710
"2023-09","Quebec",327837
"2023-10","Quebec",267734
"2023-11","Quebec",311386
"2022-01","Ontario",153320
"2022-02","Ontario",114166
"2022-03","Ontario",148956
"2022-04","Ontario",267687
"2022-05","Ontario",194880
"2022-06","Ontario",241197
"2022-07","Ontario",224004
"2022-08","Ontario",256796
"2022-09","Ontario",164757
"2022-10","Ontario",156534
"2022-11","Ontario",111969
"2022-12","Ontario",114398
"2023-01","Ontario",142650
"2023-02","Ontario",87348
"2023-03","Ontario",127401
"2023-04","Ontario",289340
"2023-05","Ontario",233467
"2023-06","Ontario",138530
"2023-07","Ontario",128416
"2023-08","Ontario",128524
"2023-09","Ontario",149100
"2023-10","Ontario",110879
"2023-11","Ontario",106134
"2022-01","Manitoba",2893
"2022-02","Manitoba",3877
"2022-03","Manitoba",6882
"2022-04","Manitoba",6290
"2022-05","Manitoba",3918
"2022-06","Manitoba",5621
"2022-07","Manitoba",4382
"2022-08","Manitoba",4489
"2022-09","Manitoba",5180
"2022-10","Manitoba",6322
"2022-11","Manitoba",4505
"2022-12","Manitoba",3608
"2023-01","Manitoba",5350
"2023-02","Manitoba",4742
"2023-03","Manitoba",6357
"2023-04","Manitoba",5827
"2023-05","Manitoba",3834
"2023-06","Manitoba",7626
"2023-07","Manitoba",5608
"2023-08","Manitoba",8498
"2023-09","Manitoba",5158
"2023-10","Manitoba",4114
"2023-11","Manitoba",3433
"2022-01","Saskatchewan",1316
"2022-02","Saskatchewan",1616
"2022-03","Saskatchewan",1900
"2022-04","Saskatchewan",1285
"2022-05","Saskatchewan",1563
"2022-06","Saskatchewan",1684
"2022-07","Saskatchewan",1859
"2022-08","Saskatchewan",1606
"2022-09","Saskatchewan",1299
"2022-10","Saskatchewan",1900
"2022-11","Saskatchewan",1237
"2022-12","Saskatchewan",1425
"2023-01","Saskatchewan",1891
"2023-02","Saskatchewan",1279
"2023-03","Saskatchewan",2267
"2023-04","Saskatchewan",1180
"2023-05","Saskatchewan",1531
"2023-06","Saskatchewan",1708
"2023-07","Saskatchewan",2169
"2023-08","Saskatchewan",1723
"2023-09","Saskatchewan",1250
"2023-10","Saskatchewan",1628
"2023-11","Saskatchewan",1314
"2022-01","Alberta",2442
"2022-02","Alberta",2311
"2022-03","Alberta",4781
"2022-04","Alberta",3983
"2022-05","Alberta",4759
"2022-06","Alberta",2228
"2022-07","Alberta",4147
"2022-08","Alberta",4388
"2022-09","Alberta",2007
"2022-10","Alberta",3096
"2022-11","Alberta",2301
"2022-12","Alberta",2616
"2023-01","Alberta",2266
"2023-02","Alberta",2750
"2023-03","Alberta",6587
"2023-04","Alberta",20806
"2023-05","Alberta",15185
"2023-06","Alberta",1737
"2023-07","Alberta",2564
"2023-08","Alberta",2833
"2023-09","Alberta",2956
"2023-10","Alberta",2004
"2023-11","Alberta",2159
"2022-01","British Columbia",69664
"2022-02","British Columbia",56639
"2022-03","British Columbia",64115
"2022-04","British Columbia",77433
"2022-05","British Columbia",109554
"2022-06","British Columbia",147520
"2022-07","British Columbia",127018
"2022-08","British Columbia",151630
"2022-09","British Columbia",81527
"2022-10","British Columbia",74971
"2022-11","British Columbia",78043
"2022-12","British Columbia",167172
"2023-01","British Columbia",134056
"2023-02","British Columbia",254352
"2023-03","British Columbia",242710
"2023-04","British Columbia",112114
"2023-05","British Columbia",151771
"2023-06","British Columbia",111755
"2023-07","British Columbia",171570
"2023-08","British Columbia",146116
"2023-09","British Columbia",127585
"2023-10","British Columbia",144566
"2023-11","British Columbia",75315
"2022-01","Yukon",71
"2022-02","Yukon",0
"2022-03","Yukon",0
"2022-04","Yukon",0
"2022-05","Yukon",2
"2022-06","Yukon",0
"2022-07","Yukon",0
"2022-08","Yukon",0
"2022-09","Yukon",312
"2022-10","Yukon",4
"2022-11","Yukon",275
"2022-12","Yukon",307
"2023-01","Yukon",612
"2023-02","Yukon",83
"2023-03","Yukon",0
"2023-04","Yukon",0
"2023-05","Yukon",0
"2023-06","Yukon",0
"2023-07","Yukon",0
"2023-08","Yukon",0
"2023-09","Yukon",0
"2023-10","Yukon",0
"2023-11","Yukon",0
"2022-01","Northwest Territories",0
"2022-02","Northwest Territories",0
"2022-03","Northwest Territories",0
"2022-04","Northwest Territories",0
"2022-05","Northwest Territories",0
"2022-06","Northwest Territories",0
"2022-07","Northwest Territories",0
"2022-08","Northwest Territories",36714
"2022-09","Northwest Territories",0
"2022-10","Northwest Territories",0
"2022-11","Northwest Territories",0
"2022-12","Northwest Territories",0
"2023-01","Northwest Territories",0
"2023-02","Northwest Territories",0
"2023-03","Northwest Territories",0
"2023-04","Northwest Territories",0
"2023-05","Northwest Territories",0
"2023-06","Northwest Territories",0
"2023-07","Northwest Territories",0
"2023-08","Northwest Territories",2892
"2023-09","Northwest Territories",24660
"2023-10","Northwest Territories",0
"2023-11","Northwest Territories",0
"2022-01","Nunavut",0
"2022-02","Nunavut",0
"2022-03","Nunavut",0
"2022-04","Nunavut",0
"2022-05","Nunavut",0
"2022-06","Nunavut",0
"2022-07","Nunavut",0
"2022-08","Nunavut",0
"2022-09","Nunavut",0
"2022-10","Nunavut",0
"2022-11","Nunavut",0
"2022-12","Nunavut",0
"2023-01","Nunavut",0
"2023-02","Nunavut",0
"2023-03","Nunavut",0
"2023-04","Nunavut",0
"2023-05","Nunavut",0
"2023-06","Nunavut",0
"2023-07","Nunavut",78068
"2023-08","Nunavut",51745
"2023-09","Nunavut",0
"2023-10","Nunavut",0
"2023-11","Nunavut",76768
