"REF_DATE","GEO","VALUE"
"2022-01","Newfoundland and Labrador",927147
"2022-02","Newfoundland and Labrador",903733
"2022-03","Newfoundland and Labrador",915525
"2022-04","Newfoundland and Labrador",920444
"2022-05","Newfoundland and Labrador",934566
"2022-06","Newfoundland and Labrador",913765
"2022-07","Newfoundland and Labrador",941916
"2022-08","Newfoundland and Labrador",958844
"2022-09","Newfoundland and Labrador",942387
"2022-10","Newfoundland and Labrador",967901
"2022-11","Newfoundland and Labrador",941705
"2022-12","Newfoundland and Labrador",952611
"2023-01","Newfoundland and Labrador",980716
"2023-02","Newfoundland and Labrador",973441
"2023-03","Newfoundland and Labrador",933420
"2023-04","Newfoundland and Labrador",895532
"2023-05","Newfoundland and Labrador",975940
"2023-06","Newfoundland and Labrador",934164
"2023-07","Newfoundland and Labrador",982665
"2023-08","Newfoundland and Labrador",944223
"2023-09","Newfoundland and Labrador",941684
"2023-10","Newfoundland and Labrador",950825
"2023-11","Newfoundland and Labrador",945189
"2022-01","Newfoundland and Labrador",927147
"2022-02","Newfoundland and Labrador",903733
"2022-03","Newfoundland and Labrador",915525
"2022-04","Newfoundland and Labrador",920444
"2022-05","Newfoundland and Labrador",934566
"2022-06","Newfoundland and Labrador",913765
"2022-07","Newfoundland and Labrador",941916
"2022-08","Newfoundland and Labrador",958844
"2022-09","Newfoundland and Labrador",942387
"2022-10","Newfoundland and Labrador",967901
"2022-11","Newfoundland and Labrador",941705
"2022-12","Newfoundland and Labrador",952611
"2023-01","Newfoundland and Labrador",980716
"2023-02","Newfoundland and Labrador",973441
"2023-03","Newfoundland and Labrador",933420
"2023-04","Newfoundland and Labrador",895532
"2023-05","Newfoundland and Labrador",975940
"2023-06","Newfoundland and Labrador",934164
"2023-07","Newfoundland and Labrador",982665
"2023-08","Newfoundland and Labrador",945711
"2023-09","Newfoundland and Labrador",943509
"2023-10","Newfoundland and Labrador",956989
"2023-11","Newfoundland and Labrador",NA
"2022-01","Newfoundland and Labrador",927147
"2022-02","Newfoundland and Labrador",903733
"2022-03","Newfoundland and Labrador",915525
"2022-04","Newfoundland and Labrador",920444
"2022-05","Newfoundland and Labrador",934566
"2022-06","Newfoundland and Labrador",913765
"2022-07","Newfoundland and Labrador",941916
"2022-08","Newfoundland and Labrador",958844
"2022-09","Newfoundland and Labrador",942387
"2022-10","Newfoundland and Labrador",967901
"2022-11","Newfoundland and Labrador",941705
"2022-12","Newfoundland and Labrador",952611
"2023-01","Newfoundland and Labrador",980716
"2023-02","Newfoundland and Labrador",973441
"2023-03","Newfoundland and Labrador",933420
"2023-04","Newfoundland and Labrador",895532
"2023-05","Newfoundland and Labrador",975940
"2023-06","Newfoundland and Labrador",934164
"2023-07","Newfoundland and Labrador",982689
"2023-08","Newfoundland and Labrador",945866
"2023-09","Newfoundland and Labrador",945446
"2023-10","Newfoundland and Labrador",NA
"2023-11","Newfoundland and Labrador",NA
"2022-01","Newfoundland and Labrador",927147
"2022-02","Newfoundland and Labrador",903733
"2022-03","Newfoundland and Labrador",915525
"2022-04","Newfoundland and Labrador",920444
"2022-05","Newfoundland and Labrador",934566
"2022-06","Newfoundland and Labrador",913765
"2022-07","Newfoundland and Labrador",941916
"2022-08","Newfoundland and Labrador",958844
"2022-09","Newfoundland and Labrador",942387
"2022-10","Newfoundland and Labrador",967901
"2022-11","Newfoundland and Labrador",941705
"2022-12","Newfoundland and Labrador",952611
"2023-01","Newfoundland and Labrador",980716
"2023-02","Newfoundland and Labrador",973441
"2023-03","Newfoundland and Labrador",933420
"2023-04","Newfoundland and Labrador",895532
"2023-05","Newfoundland and Labrador",975940
"2023-06","Newfoundland and Labrador",937652
"2023-07","Newfoundland and Labrador",985522
"2023-08","Newfoundland and Labrador",958335
"2023-09","Newfoundland and Labrador",NA
"2023-10","Newfoundland and Labrador",NA
"2023-11","Newfoundland and Labrador",NA
"2022-01","Newfoundland and Labrador",927147
"2022-02","Newfoundland and Labrador",903733
"2022-03","Newfoundland and Labrador",915525
"2022-04","Newfoundland and Labrador",920444
"2022-05","Newfoundland and Labrador",934566
"2022-06","Newfoundland and Labrador",913765
"2022-07","Newfoundland and Labrador",941916
"2022-08","Newfoundland and Labrador",958844
"2022-09","Newfoundland and Labrador",942387
"2022-10","Newfoundland and Labrador",967901
"2022-11","Newfoundland and Labrador",941705
