"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Service detail","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","64729","A","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","73373","A","","","0"
"2022-03","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","75167","A","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","78292","A","","","0"
"2022-05","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","75795","A","","","0"
"2022-06","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","76517","A","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","78953","A","","","0"
"2022-08","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","78940","A","","","0"
"2022-09","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","78517","A","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","80626","A","","","0"
"2022-11","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","80491","A","","","0"
"2022-12","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","83785","A","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","87327","A","","","0"
"2023-02","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","88158","A","","","0"
"2023-03","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","87692","A","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","87680","A","","","0"
"2023-05","Newfoundland and Labrador","2016A000210","Total, food services and drinking places","Receipts","Seasonally adjusted","Dollars","81","thousands","3","v42170706","2.1.1.2","84497","A","","","0"
