"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","264436","A","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","304927","A","","","0"
"2022-03","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","353745","A","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","346772","B","","","0"
"2022-05","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","409908","B","","","0"
"2022-06","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","335747","C","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","258207","B","","","0"
"2022-08","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","264056","A","","","0"
"2022-09","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","287861","A","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","284859","A","","","0"
"2022-11","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","344067","B","","","0"
"2022-12","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","371975","A","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","332144","A","","","0"
"2023-02","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","338631","A","","","0"
"2023-03","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","340737","B","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v803786","1.1.2.1","254649","B","","","0"
