"","year","month","GEO","pop","protests","retail","oil","food","manufac","power"
"1",2022,"April","Alberta",4480956,17,7989056,3983,868863,9421575,6069621
"2",2022,"April","British Columbia",5310164,42,8959229,77433,1222442,5904432,5240902
"3",2022,"April","Manitoba",1405197,2,2083495,6290,194206,2000977,2168371
"4",2022,"April","New Brunswick",801778,5,1340707,1818,116742,2460804,1171958
"5",2022,"April","Newfoundland and Labrador",529249,2,920444,77160,78292,346772,686123
"6",2022,"April","Northwest Territories",44828,0,76390,0,5724,584,58889
"7",2022,"April","Nova Scotia",1014827,2,1689162,47821,164055,928882,899107
"8",2022,"April","Nunavut",40489,0,48635,0,1861,1856,16071
"9",2022,"April","Ontario",15046211,46,24616762,267687,2682207,31728284,10717875
"10",2022,"April","Prince Edward Island",165524,0,269014,0,30470,285508,129091
"11",2022,"April","Quebec",8627524,26,13896378,228362,1314059,18280632,17514950
"12",2022,"April","Saskatchewan",1173366,5,2048833,1285,178681,2120037,1869556
"13",2022,"April","Yukon",43454,2,88900,0,7819,3601,43778
"14",2022,"August","Alberta",4510891,6,8312320,4388,906253,8976474,6783590
"15",2022,"August","British Columbia",5356284,19,9144939,151630,1233372,5723411,4870866
"16",2022,"August","Manitoba",1413409,6,2231006,4489,198691,2156220,2054341
"17",2022,"August","New Brunswick",809568,4,1368487,2311,116593,2241491,997796
"18",2022,"August","Newfoundland and Labrador",531583,5,958844,150263,78940,264056,684606
"19",2022,"August","Northwest Territories",44685,0,75755,36714,5832,984,51834
"20",2022,"August","Nova Scotia",1025445,8,1714108,57149,166828,906456,847062
"21",2022,"August","Nunavut",40485,0,48163,0,2375,4295,14405
"22",2022,"August","Ontario",15145006,28,24320748,256796,2754474,30944157,12987686
"23",2022,"August","Prince Edward Island",167188,1,281978,0,33239,238437,115815
"24",2022,"August","Quebec",8672185,8,14351635,358902,1395697,17012905,15068395
"25",2022,"August","Saskatchewan",1178422,4,2110437,1606,181882,2175991,2063730
"26",2022,"August","Yukon",43905,0,92845,0,7493,3354,38095
"27",2022,"December","Alberta",4561350,4,8431294,2616,937555,8617749,7146188
"28",2022,"December","British Columbia",5403528,16,8960346,167172,1285432,5496946,6876391
"29",2022,"December","Manitoba",1423596,8,2275146,3608,208406,2056120,2876953
