"REF_DATE","GEO","DGUID","Supply and disposition","Products","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","3518","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","3510","","","","0"
"2022-03","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","3454","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","0","","","","0"
"2022-05","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","2513","","","","0"
"2022-06","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","3400","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","0","","","","0"
"2022-08","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","0","","","","0"
"2022-09","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","1","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","2","","","","0"
"2022-11","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","2","","","","0"
"2022-12","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","0","","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","4","","","","0"
"2023-02","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","0","","","","0"
"2023-03","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","7","","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","1","","","","0"
"2023-05","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","0","","","","0"
"2023-06","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","2928","","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","0","","","","0"
"2023-08","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","0","","","","0"
"2023-09","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","3300","","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","3425","","","","0"
"2023-11","Newfoundland and Labrador","2016A000210","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227626","2.9.17.1","1","","","","0"
"2022-01","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2022-02","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2022-03","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2022-04","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2022-05","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2022-06","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","357","","","","0"
"2022-07","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","357","","","","0"
"2022-08","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2022-09","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2022-10","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2022-11","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2022-12","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2023-01","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
"2023-02","Prince Edward Island","2016A000211","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251227738","3.9.17.1","0","","","","0"
