"REF_DATE","GEO","DGUID","Electric power, components","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","4501677","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","4119837","","","","0"
"2022-03","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","4202358","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","3356896","","","","0"
"2022-05","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","2939704","","","","0"
"2022-06","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","2822154","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","2791548","","","","0"
"2022-08","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","2773519","","","","0"
"2022-09","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","2898681","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","3059730","","","","0"
"2022-11","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","4113775","","","","0"
"2022-12","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","3982170","","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","4619205","","","","0"
"2023-02","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","4638345","","","","0"
"2023-03","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","4962936","","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","3949694","","","","0"
"2023-05","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","3202546","","","","0"
"2023-06","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","2695193","","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","3047061","","","","0"
"2023-08","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","3139042","","","","0"
"2023-09","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","2993643","","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","3335319","","","","0"
"2023-11","Newfoundland and Labrador","2016A000210","Total generation","Megawatt hours","210","units","0","v44159046","2.1","4632345","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","887826","","","","0"
"2022-02","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","752737","","","","0"
"2022-03","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","756918","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","686123","","","","0"
"2022-05","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","524176","","","","0"
"2022-06","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","674876","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","601566","","","","0"
"2022-08","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","684606","","","","0"
"2022-09","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","680140","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","817304","","","","0"
"2022-11","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","1017971","","","","0"
"2022-12","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","1131205","","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","1230559","","","","0"
"2023-02","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","1272487","","","","0"
"2023-03","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","1224705","","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","925900","","","","0"
"2023-05","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","933348","","","","0"
"2023-06","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","820197","","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","714052","","","","0"
"2023-08","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","745753","","","","0"
"2023-09","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","718676","","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","817346","","","","0"
"2023-11","Newfoundland and Labrador","2016A000210","Total electricity available for use within specific geographic border","Megawatt hours","210","units","0","v44159050","2.17","1050354","","","","0"
"2022-01","Prince Edward Island","2016A000211","Total generation","Megawatt hours","210","units","0","v44159056","3.1","60272","","","","0"
"2022-02","Prince Edward Island","2016A000211","Total generation","Megawatt hours","210","units","0","v44159056","3.1","59805","","","","0"
