"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Sales","Adjustments","Release","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","800919","","","","0"
"2017-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","784274","","","","0"
"2017-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","767324","","","","0"
"2017-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","764090","","","","0"
"2017-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","777538","","","","0"
"2017-06","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","781018","","","","0"
"2017-07","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","757795","","","","0"
"2017-08","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","772502","","","","0"
"2017-09","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","791890","","","","0"
"2017-10","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","812403","","","","0"
"2017-11","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","789652","","","","0"
"2017-12","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","784523","","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","762943","","","","0"
"2018-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","773106","","","","0"
"2018-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","773804","","","","0"
"2018-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","778259","","","","0"
"2018-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","772133","","","","0"
"2018-06","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","751625","","","","0"
"2018-07","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","773232","","","","0"
"2018-08","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","781314","","","","0"
"2018-09","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","768373","","","","0"
"2018-10","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","756467","","","","0"
"2018-11","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","747536","","","","0"
"2018-12","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","763458","","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","753576","","","","0"
"2019-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","747311","","","","0"
"2019-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","787285","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","736408","","","","0"
"2019-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","741629","","","","0"
"2019-06","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","759945","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","780380","","","","0"
"2019-08","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","780742","","","","0"
"2019-09","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","779402","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","802997","","","","0"
"2019-11","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","768645","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","776500","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","752756","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","789626","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","733166","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","571892","","","","0"
"2020-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","719719","","","","0"
"2020-06","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","852095","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","836779","","","","0"
"2020-08","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","832782","","","","0"
"2020-09","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","826467","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","821404","","","","0"
"2020-11","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","862313","","","","0"
"2020-12","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","779813","","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","862577","","","","0"
"2021-02","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","817851","","","","0"
"2021-03","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","863908","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","900549","","","","0"
"2021-05","Newfoundland and Labrador","2016A000210","Retail trade [44-45]","Total retail sales","Seasonally adjusted","February 22, 2024","Dollars","81","thousands","3","v1582431699","2.1.1.2.12","872782","","","","0"
