"","(Intercept)","seasonSpring","seasonSummer","seasonWinter","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params",3.69951512096396,-0.0493934066865147,-0.56440288936179,-0.254071217684764,0.797020129256361,-2.00612002070345,-2.6713762942438,-3.06494831600818,-5.48889829046615,-2.42539819085879,-5.14737631021795,5.64339717634618,-4.28121914873475,2.18394087653187,-2.67249521255197,-4.24717974550348,-1.87410472345633
"boot_params.1",3.62517592552775,-0.0585282202489327,-0.552819494751095,-0.237135412614045,0.805806787335514,-1.84159047597564,-2.52539820529964,-2.93434281954676,-4.96259978972321,-2.3845947110594,-4.64111701302528,5.36086526856409,-4.10836627515016,2.09409256580632,-2.53522916356574,-3.89055217708983,-1.74362127759097
"boot_params.2",3.70923643517228,-0.0730462979736566,-0.572585933619449,-0.235500535304462,0.807142705246611,-1.93963352864143,-2.73590288917861,-3.22810663935024,-5.07117726020449,-2.46199271342038,-5.32697169664975,5.70034850737282,-4.10025729854271,2.23577482378051,-2.7202263629986,-4.15927218144844,-1.89523374393514
"boot_params.3",3.61671175295277,-0.0569650322780287,-0.535679689369895,-0.235794637925869,0.825959748218418,-1.80995256692622,-2.50183905084577,-3.1131466259214,-5.30633892633279,-2.37260509578594,-4.95593126513146,5.44862901902806,-4.07760225605343,2.1389231002978,-2.51717519037803,-4.07926550430217,-1.77625867217889
"boot_params.4",3.62794665477746,-0.0691194609191642,-0.541370764681743,-0.252112039870058,0.804124050142788,-1.84457704501019,-2.5257811205193,-3.04242682456986,-4.80807905902234,-2.36848071193245,-5.04665958377169,5.42825668997905,-3.98297288893199,2.12633296771435,-2.55598595812893,-4.01732269880204,-1.77042056649807
"boot_params.5",3.65294198656832,-0.0558275042263557,-0.532762072054483,-0.233440982264475,0.818592217636163,-1.89670475011481,-2.60167146692376,-3.04619122767967,-5.05887508038212,-2.46340129648599,-4.73830261575053,5.54115267283544,-4.05246131731227,2.17522373085867,-2.5654758981757,-4.02642362893916,-1.82474167721152
"boot_params.6",3.59053951862803,-0.0439697082609244,-0.544049421520191,-0.233712590877733,0.823439032564034,-1.77747731866428,-2.47239270704306,-2.9600463495403,-4.80185899894978,-2.26398786917474,-4.77400742117729,5.32243806114381,-3.88143199247646,2.113950336019,-2.49454278996644,-3.74441511077563,-1.72204081797229
"boot_params.7",3.60608537423724,-0.0711865654409747,-0.56568666603559,-0.233701520375917,0.817172929021854,-1.80509878102169,-2.46426497811195,-2.91834986131299,-5.00497087838198,-2.27912232885418,-5.10163162629351,5.32608639512575,-4.09316790906916,2.10458258974806,-2.41708125483296,-3.93846473660667,-1.72380719891878
"boot_params.8",3.64422786169815,-0.0720716094002277,-0.576446737966453,-0.269102805904482,0.825468372195664,-1.84634254401224,-2.55954286740185,-2.99391085875198,-4.83416638478808,-2.37620747036434,-4.8807262206868,5.44216527309983,-4.22362710463783,2.11807998370944,-2.54071450027947,-4.01932446101996,-1.77636963325134
"boot_params.9",3.62098425512463,-0.0739753378807183,-0.572383853769751,-0.247932227923625,0.808711400953419,-1.77597897654483,-2.49599853918842,-3.01123450191972,-5.02640005450882,-2.29228003058494,-4.69287139942888,5.27074936645687,-3.94149373033366,2.05762437399546,-2.46674178886199,-3.95455179882559,-1.70643965560788
"boot_params.10",3.69314310737938,-0.0596732319076888,-0.528459685782243,-0.249018889936599,0.848908916179109,-1.98484305360888,-2.75504900413191,-3.09394081656953,-5.00465603080062,-2.48455932894432,-4.83404702860637,5.74609096196728,-3.97219415685937,2.25444460583839,-2.72206112834979,-4.19029714819094,-1.91294915811677
"boot_params.11",3.66111486564181,-0.0766449145902024,-0.556351953928817,-0.259963975765539,0.821606233407418,-1.89005729131443,-2.62038098306642,-3.10076070229166,-5.34891011289553,-2.38258522278271,-5.01705303173835,5.51800379974011,-4.01628671968645,2.15614555214594,-2.54720971198775,-4.16350494466268,-1.81121139080559
"boot_params.12",3.67717245495753,-0.0795586204570921,-0.582936456282048,-0.259301345193578,0.811291587215677,-1.8823466869607,-2.70066969405899,-3.10336256906576,-5.4068419618975,-2.40870574182328,-4.98928505364129,5.55903466166329,-4.08205897992382,2.16739898535867,-2.66918334066843,-4.05182178993533,-1.82932435894787
"boot_params.13",3.72300909467799,-0.0946866146579722,-0.582243021902357,-0.26177137642674,0.847409686513374,-2.00529142340433,-2.7881229673624,-3.29493927096602,-5.62974629478016,-2.57823989918925,-4.6143687602713,5.89772530638712,-4.18123395663706,2.32292011818616,-2.65973299458976,-4.35794757387608,-1.96780248255979
"boot_params.14",3.68156114625046,-0.0591889501122917,-0.562713399262584,-0.224156703603855,0.841664131861244,-1.96143328445359,-2.60919206056856,-3.14769576494409,-5.69570906523298,-2.45084391336033,-4.63796489957353,5.76771142941463,-4.24099157664325,2.26911518557107,-2.63299570156464,-4.24202083313141,-1.91673553931754
"boot_params.15",3.59281405868165,-0.0422532815372966,-0.564496650050798,-0.225953281425084,0.846847727350002,-1.78623610718454,-2.5142060743861,-2.99691891384378,-5.31645076150267,-2.30481448066598,-5.11814578197774,5.43334223038013,-4.19503091967777,2.14465189695155,-2.47430861636185,-4.25431051023573,-1.76343208485706
"boot_params.16",3.66969943932263,-0.0696186127140842,-0.543443580572887,-0.236721366852013,0.803005098359279,-1.92975773059178,-2.58947895715297,-3.07697404084396,-5.0795301289796,-2.35782789082339,-4.90934044970574,5.46932172409991,-3.92053969210707,2.14433023901753,-2.57320627085215,-4.18304709502629,-1.80095719747834
"boot_params.17",3.62092384691749,-0.0746366356259593,-0.597282489227574,-0.242122255330805,0.78039895216502,-1.78964903980973,-2.45424065571771,-2.93868064095046,-5.00861438667097,-2.23655568620489,-4.70998993968922,5.17436855504757,-3.99421147737702,2.02163822368492,-2.5305436633788,-4.09185863574205,-1.6720775160525
"boot_params.18",3.58361629909202,-0.0481910221773017,-0.554535992591887,-0.212214743263269,0.811912179679578,-1.76160599869243,-2.50852190252284,-2.86654262716402,-4.90014738514455,-2.343693463889,-4.91019596008095,5.31706346138546,-4.14298855635112,2.08093238401301,-2.47096995733286,-3.99179755545151,-1.71551886876698
"boot_params.19",3.76088792495451,-0.0948871756481993,-0.575797724297497,-0.247872614882335,0.796306844766372,-2.03444247673043,-2.71299456902605,-3.26869435573357,-5.26431764181132,-2.53485718154949,-4.84145647926552,5.7568437523806,-4.41292593791002,2.23294668238147,-2.70846801796167,-4.4060824944488,-1.93332941970423
"boot_params.20",3.60029002669508,-0.0643996819478538,-0.570759050825895,-0.233748761029645,0.811069067389816,-1.81103545884161,-2.5485530029105,-3.01659133229574,-5.22018071139268,-2.30403276779645,-4.97586649077482,5.2859092746641,-3.98412840539945,2.06729581834678,-2.39473226188794,-4.16899663380228,-1.70819896323444
"boot_params.21",3.7284169999688,-0.072481319638332,-0.563085015008459,-0.26456247492196,0.843574495996728,-2.01315585658527,-2.72302014593292,-3.27111645105346,-5.63609443237812,-2.54076990069207,-5.2018965739758,5.89202872674369,-4.22889066289688,2.3095021412705,-2.78570869322016,-4.35708239956503,-1.97143169614833
"boot_params.22",3.72504318315648,-0.0762429944676905,-0.559477399238888,-0.24320385757499,0.837475997674284,-2.03933528179462,-2.68489919675016,-3.2216491777244,-4.97194287023486,-2.56985626776564,-5.21546907814582,5.87850457611053,-4.44191206997643,2.30242404644449,-2.68103281088243,-4.44110912707709,-1.96663549997143
"boot_params.23",3.67900983361312,-0.0602998410229956,-0.516971901155654,-0.221937729946261,0.812662406665506,-1.90431309418484,-2.64991436512328,-3.14442192695944,-5.38751458859428,-2.44036644860029,-4.8053030969999,5.60566091118961,-4.29543175918397,2.19267965617577,-2.60984323652559,-4.16054587209847,-1.85877642035208
"boot_params.24",3.59432029345082,-0.048310933478955,-0.556564461606159,-0.209875202416942,0.808904415216504,-1.78325132405295,-2.54073338207594,-3.00274935411035,-4.71288839219584,-2.24415929398599,-4.79443670335627,5.21934290246338,-4.00541179151366,2.06133711823884,-2.4767302651154,-4.01350957376999,-1.69036806894761
"boot_params.25",3.63716018301948,-0.0556403195792957,-0.538537222942123,-0.237752486185957,0.819785758169045,-1.82416693999566,-2.56426084881758,-3.02312350877389,-5.38142918573473,-2.39266370848963,-5.18631360029658,5.41812970611248,-3.95276443452727,2.11860102653249,-2.56649740551087,-4.02556350077392,-1.7750000618958
"boot_params.26",3.63814666653077,-0.0521182545392197,-0.52830552211732,-0.206999074013442,0.812316344509389,-1.85679125335792,-2.60360896144897,-3.01849116145765,-4.96021565087805,-2.38180962737524,-5.16359261386799,5.45242902994724,-4.10078850127365,2.11477980443656,-2.62607875457656,-4.05405191049646,-1.78759164058751
"boot_params.27",3.68003378167505,-0.0577632347345894,-0.555904067490494,-0.227039815477317,0.778718362399526,-1.95148880507178,-2.6691081798363,-3.09173003007443,-5.40585245390974,-2.47594071143842,-5.21164109144167,5.466541776497,-4.47642996353934,2.13044551397179,-2.47540458085362,-4.16062015380859,-1.80675451663127
"boot_params.28",3.57291800634628,-0.0695975456075373,-0.560079692448558,-0.238270915239344,0.787927984066792,-1.75922042170121,-2.4002895368448,-2.83417070734943,-4.94940096750286,-2.22959373364549,-4.97233601062181,5.09403984892068,-4.08798972509604,2.00249315306442,-2.34915154884338,-4.10527582875501,-1.62880498144114
