"","(Intercept)","monthAugust","monthDecember","monthFebruary","monthJanuary","monthJuly","monthJune","monthMarch","monthMay","monthNovember","monthOctober","monthSeptember","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params",5.24996641804108,-0.713508985630735,-0.668222839916403,0.038906269140981,-0.359580325480498,-0.554470217383413,-0.308820539165511,-0.10881556917446,-0.0325588973094761,-0.0861189774878148,0.0395706710859537,0.117148924528385,0.857808322461835,-2.15547661740625,-2.8867437143525,-3.29624078613878,-5.66266180227882,-2.69485956124239,-5.17955071891311,6.23637856785318,-4.45196955976463,2.45470819738679,-2.80220931410745,-4.43212376872692,-2.97536181851883e-07
"boot_params.1",4.76886784614585,-0.753783825418693,-0.637667965135192,0.0779069861651737,-0.306631146730126,-0.500282012227264,-0.378930725224042,-0.054065075007998,-0.00861583998132992,-0.0893246481698846,0.0467852090847654,0.0886328733532698,0.819190346736869,-1.79838551202619,-2.41755472786458,-2.90892189563288,-4.94581799152112,-2.29497929264834,-4.83951485733441,5.29425634707283,-3.96806724178456,2.08371360877634,-2.46313688938531,-3.79606208449387,-2.40301777912834e-07
"boot_params.2",4.91529229331224,-0.705263948121036,-0.623183784154993,0.0458616581099072,-0.35401193810296,-0.593648401883235,-0.36985923147694,-0.133778776842076,-0.0341249268115418,-0.0926302570996067,0.00838599279648127,0.0934593949400542,0.81566731813874,-1.91808100001601,-2.56478969035854,-3.02649094378941,-5.22008864556437,-2.32263459437743,-5.1642942509668,5.45107821383478,-4.13542135935511,2.14629872849116,-2.59772132026046,-4.00080947196084,-2.52091447557925e-07
"boot_params.3",5.10592171481036,-0.692251075011469,-0.551498567646914,0.0884029829978063,-0.328024266777371,-0.486551537807176,-0.283564753042886,-0.0739513716572288,-0.0120421138081302,-0.0634688307457447,0.0661783749546751,0.111586667164022,0.830496552397928,-2.03674425948158,-2.7604749027779,-3.26164900581002,-5.78717208620136,-2.49460271690326,-4.87437598519221,5.93463505025504,-4.3730276200178,2.31410972773089,-2.77785396700321,-4.36618163941321,-2.81110407178459e-07
"boot_params.4",5.10570957744785,-0.697217862408667,-0.639772423402353,0.0764927322312623,-0.283597432800484,-0.498537753955981,-0.326843137082523,-0.0824448972229396,-0.011301138315236,-0.0539174624954433,0.0837613317773567,0.136404856430961,0.827918532831245,-2.0689377148965,-2.78719761831367,-3.25096547906678,-5.85873878776442,-2.58110353676382,-4.99537114502591,5.93898150270145,-4.19014810185745,2.32406826713973,-2.7732721770976,-4.45064430486673,-2.81188167232396e-07
"boot_params.5",4.94888485454969,-0.706351829978054,-0.627918113771556,0.0365331896383086,-0.313277995985535,-0.559644683845345,-0.382223266854501,-0.102098112217336,-0.046681509601018,-0.110264458746605,0.0289156195766268,0.0943508932646317,0.817912681459818,-1.9022628436576,-2.58474727557122,-3.08040888886451,-4.93057121012187,-2.40330094056872,-4.92666869576428,5.55107320846343,-4.04028656682557,2.16217981220167,-2.56380230462365,-4.26656113575586,-2.57320996722715e-07
"boot_params.6",5.02109480137144,-0.729096125089851,-0.601568996753508,0.0235179894489485,-0.308018509168636,-0.528651268347537,-0.309727691432165,-0.107463582894384,-0.0362316288918876,-0.08287046513603,0.0156928911591192,0.119166438691418,0.834841803943427,-1.9783534208347,-2.60707854361893,-3.15297475495054,-5.07465588169495,-2.45205723087809,-4.85272437061652,5.69736722364487,-4.12968195869676,2.24603848902036,-2.65192130101858,-4.24266146086949,-2.66799446905735e-07
"boot_params.7",4.86462866625383,-0.657162243265216,-0.663326974854681,0.0534934029488219,-0.328275919875576,-0.56798709015092,-0.38179699917602,-0.120144276448105,-0.0221617586972203,-0.0900330797457014,0.0332720390532475,0.0985835763705386,0.830747332307018,-1.8148083058926,-2.52755289100462,-3.05424515465205,-4.89762183089564,-2.36142071741674,-4.8922278143601,5.44155902182123,-4.11754421994602,2.15256338638531,-2.57937132493549,-4.06680952472397,-2.49759453689951e-07
"boot_params.8",4.95394925105567,-0.756543503328555,-0.659213993826412,0.0223215946092969,-0.370056072491978,-0.580389455773041,-0.36438074182924,-0.131624914597613,-0.0438110659275463,-0.0679330222284659,0.0354729161234263,0.0995457754827261,0.83109791396687,-1.90758772980451,-2.58925995467621,-3.10244341634349,-5.02315011996673,-2.3841654982373,-4.89338393392194,5.64734881840384,-4.05246426253809,2.22716367025712,-2.59559274675127,-4.05702725023132,-2.61217085610205e-07
"boot_params.9",5.03886609022568,-0.709296485220361,-0.626857968456309,0.0409881240041267,-0.362309703919804,-0.57532504328958,-0.360385628115527,-0.130890543154221,-0.0297898975807237,-0.092069781581627,0.0479883844315242,0.102160510906601,0.824493093672092,-1.96792084767658,-2.68392787145011,-3.13903353671065,-4.91428308178289,-2.43420404653379,-4.98857522761404,5.74381315942598,-4.2672724495351,2.26078224551469,-2.60793646353659,-4.12005746667675,-2.69150938778961e-07
