"","(Intercept)","monthAugust","monthDecember","monthFebruary","monthJanuary","monthJuly","monthJune","monthMarch","monthMay","monthNovember","monthOctober","monthSeptember","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params",4.66378505884416,-0.703745706620129,-0.648311253600263,0.0973486813435765,-0.283816614647583,-0.323471887376605,-0.316021374133883,-0.0723866727020711,-0.0759821904799275,-0.273993546553617,0.00842339000801952,0.120417860129392,0.927327634639935,-1.61837307075575,-2.25249931214365,-2.90139720478737,-4.81655383259864,-2.27071354072812,-4.55604189428131,5.58698177207384,-3.60313203963097,2.23408795779501,-2.23000454318221,-4.051910872163,-2.47217600344678e-07
"boot_params.1",5.09809520997574,-0.463265444830391,-0.36303155192664,0.406200014004145,-0.415891851734576,-0.624189138575302,-0.232364348476198,-0.0385258918574429,0.128441228210442,-0.016290661516816,0.357902705713463,0.297052451399678,0.812962135697777,-2.18063725585265,-3.04183019446395,-3.44893238720134,-5.34200796547128,-2.70644038889538,-5.16782219718541,5.84850945898059,-4.30168433085505,2.30201666393245,-2.82292661347071,-4.16192471680476,-2.80825708005103e-07
"boot_params.2",5.91332858458516,-0.832943185650931,-0.624435652466962,0.0684597417780707,-0.535177644730653,-0.753755660824005,-0.468601452570582,-0.137219074172132,-0.0687894113481941,-0.0856425010599391,0.00194266462650215,0.115083256486844,0.928032737660259,-2.38512060368899,-3.15672890837435,-3.80907149186435,-6.93811465407221,-2.91377878999259,-5.90709724272031,7.18422579512273,-5.19002388908503,2.83128952082163,-3.19359280697436,-5.03435984959461,-3.67625264927527e-07
"boot_params.3",5.6848012456117,-0.506447528296153,-0.339956875568983,0.253063306795278,-0.24593975570401,-0.536832532226816,-0.19771497577908,-0.0854455700538788,0.283093037810654,0.118474553522767,0.314825403206872,0.227305457163978,0.830201200018628,-2.68402265801236,-3.4410798702032,-3.62584704333342,-6.10529010547633,-3.11188740560383,-5.92194434780069,7.02741956727438,-5.15636660614557,2.62734825719313,-3.39159399618127,-5.10888817069877,-3.51919490897212e-07
"boot_params.4",4.38304117408292,-0.906881646391698,-0.586570754511773,0.161794309951585,-0.0185888440163077,-0.528783672358342,-0.392100557226945,0.0493630459538481,-0.257664382031832,0.0062552480631665,0.0187301076843084,0.212578959959668,0.894573500535278,-1.32368115931688,-2.17213587623064,-2.61597449496126,-5.0626444225697,-2.11195368225288,-4.34864063996496,4.8622572050579,-3.7012714447229,1.89206208032021,-2.08481135562238,-3.86997373827888,-2.08746406724266e-07
"boot_params.5",4.08734762181599,-0.668156277064012,-0.357732092682026,0.0401396284743907,-0.224213922438053,-0.538914765811482,-0.423610776122849,-0.0710048202365465,-0.112392526753765,-0.185383497882216,0.14548631065162,0.164325863487596,0.878809321652093,-1.36182374691209,-1.71051089256342,-2.23784204916565,-4.37381366961337,-1.61852629687941,-3.59686502475273,4.15307746404557,-3.19991950628262,1.67263911269596,-1.82190790054219,-3.30425350549335,-1.68781892550466e-07
"boot_params.6",5.31519787815106,-0.532545796292444,-0.760930014055008,-0.0647086668903212,-0.442710701990123,-0.594845017423535,-0.481663838392034,-0.122874661485498,-0.0988356463486138,-0.195587009560052,-0.310016184671384,-0.0534630210589885,0.833874487098355,-1.96846758645424,-2.72824868868225,-3.19375867819647,-5.18716011663906,-2.45989011860539,-5.01301652832669,6.02092581791859,-4.02661502735522,2.46592853976394,-2.78338514084207,-4.45163427069166,-2.8755958138944e-07
"boot_params.7",4.25198931933008,-0.674711166135736,-0.577460726594833,0.0866148575707772,-0.317529964569166,-0.766109605408497,-0.535685595962634,-0.104273848223132,-0.0952218144559274,-0.0631861220824399,-0.0669497315071646,-0.0318403412247859,0.707371649942657,-1.53475213637493,-2.07889251832392,-2.19209151797837,-4.3715298897861,-1.70644055372707,-4.43774872160664,3.95826516096539,-3.17596564276104,1.66500249267948,-1.99463865790498,-3.28688097576549,-1.65642029142802e-07
"boot_params.8",5.59710692403033,-0.585749941764897,-0.375956204633915,-0.0234965716892707,-0.302228025401173,-0.601099207644624,-0.202289872449435,0.156222873485149,0.134360084602002,0.0170749775566399,0.00827833217737372,0.215657363377955,0.830731253078706,-2.4747825654491,-3.50759422716254,-3.64255639390431,-5.83315776915556,-2.93401107801513,-6.1278017760203,7.03959684318994,-4.566894762475,2.60423317703137,-3.17687668515107,-4.87077634438618,-3.4425760669028e-07
"boot_params.9",2.20241201878184,-0.732235981112044,-0.310546077944583,0.20781974858275,-0.191729454676246,-0.697746492494734,-0.200908572148957,-0.00553357249935991,0.0208174437852974,0.00129283890432112,-0.0788876007553717,0.189588501339573,0.704312948348548,0.108710073949402,-0.263648323818069,-0.470705557686039,-2.03647481386167,-0.256344042484607,-2.33176789013593,0.541160070665065,-1.63576786500414,0.40499825852126,-0.391356627352394,-1.40459776733966,5.54334963586787e-08
"boot_params.10",5.77294730464348,-0.455701135023484,-0.524570836742886,0.0354461259253959,-0.0407971740598165,-0.595990280034429,-0.260897076120333,-0.0633827088172991,-0.187719356044864,-0.0603829130053139,0.0353846228531801,0.273050199265576,0.678828404277213,-2.95756077775959,-3.50554620531011,-3.76744096812697,-5.61681965605148,-3.06559430872018,-7.18541434283251,6.79939980477238,-4.80935840739114,2.63088085023996,-3.46060226107781,-5.03565166420439,-3.41752846271242e-07
"boot_params.11",5.91413651301145,-0.596570395483375,-0.836498780679797,-0.0823149019738828,-0.396711708195938,-0.628057973035609,-0.342046201571976,-0.0280299039464641,-0.166094043336637,-0.154843969102273,-0.0480597775820713,0.146967082094375,0.896383376605435,-2.50180856549426,-3.36014040148087,-4.12103082204166,-5.98928038563087,-3.2080090953868,-5.88659135950756,7.40458790683346,-4.85672823063451,2.99692156869345,-3.15692886898364,-5.04337257477879,-3.71847656936418e-07
"boot_params.12",4.62904194933183,-0.649536128605247,-0.797404397735335,0.0635898134200125,-0.265756587760433,-0.564486176981365,-0.2280524977549,-0.0404619944793274,0.0113855224788762,-0.125195806897159,0.189849460911734,0.19044829610141,0.697717851366861,-1.71250852736529,-2.27278069067531,-2.858194761258,-4.7041577548441,-2.30480511095655,-4.82794076114925,4.9615018415216,-4.02323163346803,1.8814349667139,-2.58061944722913,-3.59244754839822,-2.22045600641159e-07
"boot_params.13",4.03767797553164,-0.69148979620032,-0.616285449673866,-0.113503637326355,-0.503016387919606,-0.740107093221264,-0.448522822619198,-0.175454136729716,-0.0604574335107095,-0.0420671846946862,0.102426231054292,0.0729415634187407,0.98520895554736,-1.16569729288135,-1.8629330642471,-2.36123853225988,-4.65203055787521,-1.51103472027186,-4.31824653641099,4.08161495817544,-3.00430707825686,1.83244002316653,-1.91764641685147,-3.40601419420429,-1.58175125383162e-07
"boot_params.14",5.34982653101993,-0.808519659805256,-0.677535799459809,0.250338756945783,-0.29679927598716,-0.633300474238065,-0.220116768794136,-0.0709110201817629,-0.0157955117657582,0.153215674478474,0.224502496411261,0.191890247505608,1.06942467364412,-2.22108569232086,-2.72197373883229,-3.62295059136977,-5.47084881670238,-2.82708614540048,-5.72558101099993,6.85914253820969,-4.56940866722733,2.93013017511209,-2.73608175315195,-4.69842037843617,-3.31730412890166e-07
"boot_params.15",5.08689544352997,-0.698708568393723,-1.18122561751071,-0.030214386042442,-0.390841899021312,-0.79732727680072,-0.471267208828177,-0.0356860059807575,-0.021708333460824,-0.0372503563197668,0.0235432411620627,0.272626091352385,1.03478137737424,-2.26401562430439,-2.71898649707185,-3.31968072458138,-5.91888193437379,-2.36957823463155,-4.95517262572716,6.22176163265501,-3.96500172874529,2.61050299885079,-2.83802549778491,-4.32968033719189,-2.88648210128047e-07
"boot_params.16",6.19053254712447,-0.71392222373288,-0.644556840537012,0.437945098559956,-0.00535291398099685,-0.232069773405035,0.00492669934182491,-0.00814568841577626,0.294320033486828,0.0966007577894332,0.368398741864387,0.277899193766488,0.651753838178215,-3.00532694005443,-3.91300984122906,-4.44169381275123,-6.24199684162777,-3.709320814511,-6.32205353073128,7.99917391213096,-5.440732399266,2.95931807447516,-3.74494646588645,-5.27272355767162,-4.13074227167545e-07
"boot_params.17",4.18761578278134,-0.73581459583972,-1.21089528262048,-0.111721037795498,-0.486703293347346,-0.447038254989239,-0.650080868833267,-0.0811505756960621,-0.0461745038111127,-0.219532780726068,-0.194198765176129,-0.0156901022910984,0.788039332255755,-0.998457587909247,-1.91391788215987,-2.34647631196539,-4.31552336682755,-1.50501233463991,-4.13868984572615,4.09614710886856,-2.99139058560794,1.57804552447773,-1.89822671502088,-3.73430898476304,-1.61039513724017e-07
"boot_params.18",5.90934205373934,-0.672559714157041,-0.581253047777679,0.310838598565821,-0.279603174897384,-0.4171131229369,-0.300024955554273,0.223013371031274,0.0991661815824709,0.0288882236985323,0.0762176802588392,0.0274571082498172,0.773101749736142,-2.75019006478362,-3.63253408814818,-3.89893160516684,-6.6517184539523,-3.24109819889224,-6.01633490635248,7.31166142872257,-5.18179799779259,2.74611179823663,-3.22487459712028,-5.23659633592886,-3.74199151186387e-07
"boot_params.19",3.54765030205874,-0.996599761302093,-0.573199352926535,0.211843169534485,-0.0669069301718843,-0.334270184625654,-0.469195698202631,-0.0882816407176149,-0.111933360232914,-0.0188805160160732,0.171975513440269,0.0665038051278078,0.623121776344324,-0.743997132457673,-1.33132776275401,-1.72297201142786,-3.58706763795284,-1.38528009353406,-3.55491121633275,2.58649014954743,-3.05701958082281,1.09616296272767,-1.62680318320884,-2.68401036601469,-8.49116737029711e-08
"boot_params.20",4.37683686836026,-0.495552979734795,-0.718607334506432,-0.0278764466666597,-0.370666177303956,-0.676469239357339,-0.0837675416913708,0.0284976975094507,0.00121196878873373,0.00143555830565062,-0.137400330580246,0.179702399669465,0.763012488605312,-1.80158992877911,-2.09330184832919,-2.51052272338501,-4.57350271823866,-1.96075831478768,-4.96555294540291,4.36316739445544,-3.90602805616933,1.64653934970068,-2.23826205935458,-3.67964108247745,-1.90537148179826e-07
"boot_params.21",6.01863511788046,-0.588911906442189,-0.462390987775165,0.235667713072261,-0.188840180574532,-0.25583745106111,-0.108701656379782,0.0844447754688899,0.133052610836871,0.115106218524229,0.253399840328235,0.222633274762275,0.814019553493413,-2.84356112735041,-3.71225469958913,-4.20900828557386,-6.68435271695017,-3.45245609267709,-6.28872731824151,7.74522322754955,-5.12018521638395,2.91219195217975,-3.59912923773766,-5.42384875034016,-3.99626038898262e-07
"boot_params.22",4.55283037254821,-0.885591531893176,-0.798806165286026,0.00602131292014561,-0.351116931208645,-0.457899974939461,-0.465208010367828,-0.0119594917314195,-0.162267198590535,-0.111321537239387,-0.177658401577167,0.0801434364322576,0.843978181089718,-1.4114079542294,-2.22987973686186,-2.55565646417586,-5.56550195848101,-2.02684230235868,-4.43413717416453,4.83946995485719,-3.47544027742408,1.87596596509133,-2.16823334048876,-3.87382093620535,-2.13098543970798e-07
"boot_params.23",4.78542249392505,-0.897531387106597,-0.732901495463291,-0.0536531854705784,-0.438040440994959,-0.556654526867091,-0.704159576047493,-0.0798317543102792,-0.117443180508872,-0.258954567890466,-0.0454076349402622,-0.0318911721985274,0.945318079042626,-1.63373999422104,-2.39561738455119,-2.80708031605097,-4.77129669209477,-2.05087003455533,-4.87948558206411,5.01926281719193,-3.68863929548687,2.13842583892653,-2.11726854456867,-3.70276127079184,-2.32830694716542e-07
"boot_params.24",5.46057722148432,-0.825611301275423,-0.528792616238059,0.106598546251573,-0.387149525319375,-0.640271097803728,-0.331001371154557,-0.198030820661838,-0.320263452403927,-0.111051024235484,-0.0808503772237864,0.121406893075928,0.907314284067213,-2.27317844726036,-3.07137248813519,-3.186544531256,-5.32496958047564,-2.74504720675942,-5.41936995890731,6.49641116745773,-4.88987138522045,2.56767400599689,-2.90744217583994,-4.67844029020292,-3.14225506307752e-07
"boot_params.25",4.97235046702057,-0.779974859761797,-0.512875911944366,0.0318297282518802,-0.340361299776841,-0.684326475713713,-0.421380979965526,-0.0899980006732174,-0.0468574799502235,-0.0547458214408663,-0.00528235330960372,0.0179497371948711,0.763661190694621,-1.94370409912949,-2.64748340347115,-3.00652301687233,-5.39821565726638,-2.37554665076622,-5.24223051405278,5.52220589640928,-3.89306418676637,2.13247618953522,-2.29988454289033,-4.37845014684387,-2.53415940834491e-07
"boot_params.26",3.65770367733844,-0.658398487336387,-0.792851070022444,0.0549798925403053,-0.364223583316395,-0.56430768869448,-0.270531286438355,-0.183448820894058,-0.190574348879634,-0.0493891423560309,0.0334128593486389,0.160176924993554,0.849060411106594,-0.94582691306846,-1.61955922489506,-1.9166857026299,-3.74025074594241,-1.2215286533469,-3.5781385308381,3.44092872913798,-2.91209993719529,1.48866519265898,-1.47004463039427,-2.56750871938615,-1.17637792582381e-07
