"","(Intercept)","monthAugust","monthDecember","monthFebruary","monthJanuary","monthJuly","monthJune","monthMarch","monthMay","monthNovember","monthOctober","monthSeptember","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params",3.41133203125201,-0.717705080793887,-0.648053120565912,0.0614348676459767,-0.321077047167739,-0.580226575546554,-0.398516301449578,-0.0900408138885314,-0.044143884208846,-0.0986293552858392,0.0170785209512011,0.0864276813339628,0.669565591216856,-0.763890501691066,-1.32071313873234,-1.66803501047772,-3.81097574374947,-1.17348554329108,-3.42004514519513,2.49659703661611,-2.59498079384448,1.02797487801509,-1.42266958300514,-2.57787124291705,-7.15036667984136e-08
"boot_params.1",3.27770795228467,-0.717623853998302,-0.639147954340077,0.0727708012815935,-0.314750135947565,-0.557458595016002,-0.381908569553657,-0.0857605651233917,-0.0454128685913323,-0.107792272084575,0.0151787886655016,0.0904908904208869,0.669476759385088,-0.666964743516472,-1.21666093526141,-1.5608070952944,-3.67184508042649,-1.06746032217467,-3.30389623040541,2.23857874070471,-2.47813929339145,0.928732443518394,-1.31872007644253,-2.45546586269551,-5.54962724863374e-08
"boot_params.2",2.69452578195253,-0.719259222705397,-0.638925386409104,0.0656022422717727,-0.314418273397625,-0.567947230481997,-0.393482055790481,-0.0814356094095885,-0.0543884464353569,-0.10978499264035,-0.00199283884604915,0.0795966306166784,0.624957412353628,-0.236983424998565,-0.725876657269616,-1.03673185856096,-3.09368556371049,-0.598288496882428,-2.71093848799235,1.09882545752816,-1.90568979879297,0.500921843741368,-0.872064302492742,-1.87343248001744,1.46748508931321e-08
"boot_params.3",3.88627286091781,-0.699283452786163,-0.678996396103837,0.065445520390403,-0.314520364247755,-0.582035144784082,-0.372930998135448,-0.100872426956288,-0.0426270192220361,-0.0802594700639695,0.00339214582123962,0.0888669330309327,0.742973759224284,-1.09751720766841,-1.71165212048494,-2.11312682404528,-4.26744935788664,-1.5245354797331,-3.89203255460692,3.50426633515991,-3.04040814958594,1.40284998742418,-1.76148116235603,-3.05177345740809,-1.31148029716016e-07
"boot_params.4",4.74085369432848,-0.720461857077199,-0.627627121648551,0.0551461803155275,-0.322544218463212,-0.524465138427397,-0.356720991344821,-0.11344955590247,-0.0464642627853705,-0.124749384018999,-0.00442652852817018,0.110222550683279,0.805997424577417,-1.71435055668737,-2.44532306641232,-2.83759015428206,-5.14178176625498,-2.22089114779173,-4.7481314454129,5.0456436337046,-3.91184064717575,1.95563870177209,-2.42296407894854,-3.95241866929064,-2.29887544255892e-07
"boot_params.5",2.97090145668778,-0.716870028723134,-0.637089983411722,0.0661802194384817,-0.314443983773412,-0.563381709262014,-0.39048186820641,-0.0832473734357824,-0.0479696534854221,-0.10578829864785,0.00235950449988663,0.0826081183011454,0.64975337764516,-0.442053330774746,-0.953817435555415,-1.28300236334004,-3.36772200937453,-0.818392205952403,-2.98938309707956,1.65467522647599,-2.1738415504902,0.712684766836791,-1.08002999132758,-2.15063182285931,-1.91464325461786e-08
"boot_params.6",2.7233410732062,-0.71982759447539,-0.638497349641837,0.0655518238048616,-0.313783969541484,-0.567852247218046,-0.390732658920686,-0.0821965662272785,-0.0536617018508284,-0.108320047928283,-0.00272676651468276,0.081034510019633,0.628342964021198,-0.259099695804383,-0.747437383650634,-1.06240414675523,-3.12458359649336,-0.623013376771905,-2.73855731225624,1.16060945501385,-1.93377006568045,0.527037043259253,-0.892970199440828,-1.90125758023427,1.08526390089995e-08
"boot_params.7",3.38848879716165,-0.710701138482522,-0.627412345518632,0.0808363428617465,-0.318868778414684,-0.560355140831087,-0.380749211797913,-0.069924523720411,-0.039283391411185,-0.0962904416331454,0.0161790765030464,0.0844798218934891,0.691799624045689,-0.753074025145532,-1.30337050469279,-1.66781404227856,-3.80328260405985,-1.16423000390794,-3.4155144180987,2.5094519643122,-2.58185506604266,1.02608958559468,-1.39578620479234,-2.57034641810381,-7.08092918938707e-08
"boot_params.8",3.0398446050666,-0.720575315355451,-0.634049547264862,0.0628320641433266,-0.30954758558567,-0.566450843518428,-0.393253080411621,-0.0883565294888289,-0.050951083559065,-0.103225609650259,0.00631353073520872,0.0826213384610534,0.65617325375525,-0.487975078336212,-1.01267016326809,-1.34297049736943,-3.43838724563904,-0.875512333537905,-3.05950791328413,1.78617483741369,-2.23920346990234,0.762219901164777,-1.13217086390728,-2.21380836321434,-2.73621280093885e-08
"boot_params.9",3.34707241696214,-0.718282630923872,-0.638456131153814,0.0631553635930553,-0.309221874799819,-0.565477982299128,-0.366976864576004,-0.0885751870013706,-0.0541238412597971,-0.107341052391384,0.013621536827265,0.0812217870673883,0.686222354199795,-0.7122689035457,-1.26945643204554,-1.61927491800161,-3.74898095430161,-1.11963225354816,-3.36293418589875,2.42543283129966,-2.54076349919147,1.00524773857716,-1.35852156377358,-2.5223822193587,-6.54811723363815e-08
